Date,Home,Score_H,Away,Score_A
10/26/2025,@SIUE,100,St Ambrose,60
11/3/2025,@UNC Wilmington,106,Mt Olive,77
11/3/2025,Idaho,83,@Washington St,81
11/3/2025,@Tennessee,76,Mercer,61
11/3/2025,@Auburn,95,Bethune-Cookman,90
11/3/2025,South Alabama,76,@Toledo,74
11/3/2025,@N Illinois,102,ULM,82
11/3/2025,@C Michigan,82,Appalachian St,66
11/3/2025,@Bowling Green,83,Texas St,48
11/3/2025,@Wright St,86,Franklin,37
11/3/2025,@N Kentucky,126,Cin Clermont,69
11/3/2025,@Ohio St,118,IUPUI,102
11/3/2025,@IL Chicago,91,Detroit,71
11/3/2025,@WKU,82,Tennessee Tech,70
11/3/2025,@Georgia,104,Bellarmine,59
11/3/2025,@Penn St,76,Fairfield,68
11/3/2025,@Marquette,80,SUNY Albany,53
11/3/2025,Maryland,83,Coppin St,61
11/3/2025,@VCU,103,Wagner,74
11/3/2025,@St Joseph's PA,85,Lafayette,76
11/3/2025,@DePaul,92,Chicago St,62
11/3/2025,@Ball St,75,Louisiana,64
11/3/2025,@WI Milwaukee,90,Hampton,86
11/3/2025,@Siena,82,Bryant,66
11/3/2025,@Akron,85,James Madison,71
11/3/2025,@St John's,108,Quinnipiac,74
11/3/2025,@Georgia Tech,56,MD E Shore,52
11/3/2025,@Northwestern,70,Mercyhurst,47
11/3/2025,Towson,67,Loyola MD,56
11/3/2025,Navy,76,@Presbyterian,55
11/3/2025,@Utah,84,San Jose St,75
11/3/2025,@Kansas,94,WI Green Bay,51
11/3/2025,@Colorado,84,Montana St,78
11/3/2025,@Cincinnati,94,W Carolina,63
11/3/2025,BYU,71,Villanova,66
11/3/2025,@Baylor,96,UTRGV,81
11/3/2025,@Wake Forest,88,American Univ,74
11/3/2025,@Syracuse,85,Binghamton,47
11/3/2025,@SMU,96,Tarleton St,76
11/3/2025,@Pittsburgh,74,Youngstown St,59
11/3/2025,@North Carolina,94,Cent Arkansas,54
11/3/2025,@NC State,114,NC Central,66
11/3/2025,@California,87,CS Bakersfield,60
11/3/2025,@FL Atlantic,83,Boston College,78
11/3/2025,@St Louis,92,SE Missouri St,67
11/3/2025,@Rhode Island,93,Stetson,62
11/3/2025,@Loyola-Chicago,91,Cleveland St,88
11/3/2025,@G Washington,67,Maine,47
11/3/2025,@UCLA,80,E Washington,74
11/3/2025,@Duquesne,83,Niagara,63
11/3/2025,@Dayton,88,Canisius,48
11/3/2025,@Xavier,66,Marist,62
11/3/2025,@Georgetown,87,Morgan St,70
11/3/2025,@Clemson,88,New Hampshire,38
11/3/2025,@Connecticut,79,New Haven,55
11/3/2025,@Providence,89,Holy Cross,79
11/3/2025,@Virginia,87,Rider,53
11/3/2025,@Oklahoma,102,St Francis PA,66
11/3/2025,@Notre Dame,89,LIU Brooklyn,67
11/3/2025,@Iowa St,88,F Dickinson,50
11/3/2025,@Alabama,91,North Dakota,62
11/3/2025,Utah Tech,81,@South Dakota,79
11/3/2025,@Miami FL,86,Jacksonville,69
11/3/2025,@Mississippi,88,SE Louisiana,58
11/3/2025,New Orleans,78,@TCU,74
11/3/2025,Winthrop,81,Queens NC,74
11/3/2025,St Bonaventure,69,Bradley,63
11/3/2025,@VMI,122,J&W NC,58
11/3/2025,@FGCU,96,New College FL,60
11/3/2025,@CS Fullerton,136,Caltech,82
11/3/2025,@Virginia Tech,98,Charleston So,67
11/3/2025,@Central Conn,117,NVU-Johnson,55
11/3/2025,@Sam Houston St,95,Le Tourneau,59
11/3/2025,@Belmont,79,Air Force,63
11/3/2025,@Charlotte,92,Indiana St,76
11/3/2025,@Abilene Chr,92,McMurry,55
11/3/2025,@Tennessee St,101,Fisk,50
11/3/2025,@Florida Intl,101,Florida National,49
11/3/2025,@Liberty,98,Kentucky Chr,57
11/3/2025,@Pepperdine,88,Life Pacific,80
11/3/2025,@Jacksonville St,117,Oakwood,63
11/3/2025,@Lamar,93,Texas A&M-SA,53
11/3/2025,@Norfolk St,98,Washington Advt,76
11/3/2025,@UCF,82,Hofstra,78
11/3/2025,@Houston,75,Lehigh,57
11/3/2025,@Seattle,84,Denver,73
11/3/2025,@Oregon St,67,N Dakota St,65
11/3/2025,@Gonzaga,98,TX Southern,43
11/3/2025,Hawaii Pacific,79,@Boise St,78
11/3/2025,@Wyoming,99,Northern St SD,75
11/3/2025,@Stonehill,100,Thomas ME,48
11/3/2025,High Point,97,Furman,71
11/3/2025,@UT Arlington,91,UNT Dallas,40
11/3/2025,Boston Univ,76,@Northeastern,75
11/3/2025,@Vanderbilt,105,Lipscomb,61
11/3/2025,@Portland,120,Willamette,83
11/3/2025,@Wisconsin,96,Campbell,64
11/3/2025,@W Michigan,76,Coastal Car,71
11/3/2025,@Michigan St,80,Colgate,69
11/3/2025,@Col Charleston,79,Tusculum,58
11/3/2025,Drake,77,Northern Arizona,71
11/3/2025,@Missouri KC,80,Evangel,74
11/3/2025,Arizona,93,Florida,87
11/3/2025,@Fresno St,88,Fresno Pacific,51
11/3/2025,@Minnesota,87,Gardner Webb,60
11/3/2025,@George Mason,70,Wofford,46
11/3/2025,@William & Mary,110,Georgian Court,63
11/3/2025,@Grambling,91,Huston-Tillot,47
11/3/2025,Arkansas St,89,@Ohio,85
11/3/2025,@Houston Chr,74,S Arkansas,70
11/3/2025,@Illinois,113,Jackson St,55
11/3/2025,@Kennesaw,105,Paine,30
11/3/2025,@UC Riverside,90,La Sierra,49
11/3/2025,@UC San Diego,105,La Verne,73
11/3/2025,@Le Moyne,94,SUNY Cobleskill,50
11/3/2025,@Longwood,92,Mary Baldwin,55
11/3/2025,@MA Lowell,107,Rivier,55
11/3/2025,@S Illinois,83,McKendree,42
11/3/2025,@McNeese St,127,Champion Bap,65
11/3/2025,@UC Davis,96,Menlo,69
11/3/2025,@Morehead St,89,Midway,84
11/3/2025,@SF Austin,103,Millsaps,76
11/3/2025,Murray St,85,NE Omaha,77
11/3/2025,@Texas A&M,98,Northwestern LA,68
11/3/2025,@Michigan,121,Oakland,78
11/3/2025,@Prairie View,95,CBS-Houston,48
11/3/2025,@Radford,80,W Illinois,75
11/3/2025,@San Francisco,98,UC Santa Cruz,53
11/3/2025,@Cal Baptist,87,SC Upstate,75
11/3/2025,@South Florida,102,Florida A&M,67
11/3/2025,@Arkansas,109,Southern Univ,77
11/3/2025,@Stony Brook,66,Farmingdale,59
11/3/2025,@UTEP,98,Permian Basin,56
11/3/2025,@Vermont,75,W New England,68
11/3/2025,@Utah St,110,Westminster UT,54
11/3/2025,@Austin Peay,128,Bryan,47
11/3/2025,@Davidson,97,DeSales,63
11/3/2025,@Tulsa,100,Oklahoma Chr,57
11/3/2025,@Drexel,93,Widener,59
11/3/2025,@Washington,94,Ark Pine Bluff,50
11/3/2025,@Seton Hall,77,St Peter's,50
11/3/2025,@UAB,106,MS Valley St,55
11/3/2025,@Tulane,85,Samford,72
11/3/2025,@Chattanooga,92,Union KY,39
11/3/2025,@Miami OH,87,Old Dominion,72
11/3/2025,Missouri,88,@Howard,67
11/3/2025,@East Texas A&M,119,Arlington Bap,60
11/3/2025,@USC,94,Cal Poly,64
11/3/2025,@Buffalo,85,Southern Miss,79
11/3/2025,Troy,103,@Kent,97
11/3/2025,@Army,73,SUNY Maritime,49
11/3/2025,@Weber St,130,W Coast Bap,38
11/3/2025,@Grand Canyon,90,PFW,71
11/3/2025,@St Mary's CA,84,St Thomas MN,58
11/3/2025,S Dakota St,75,Merrimack,66
11/3/2025,@Nebraska,86,West Georgia,53
11/3/2025,@Louisville,104,S Carolina St,45
11/3/2025,@Colorado St,98,Incarnate Word,64
11/3/2025,@TAM C. Christi,83,Trinity TX,56
11/3/2025,@Alabama A&M,80,Blue Mtn,60
11/3/2025,@Bucknell,78,Delaware,70
11/3/2025,@CS Northridge,99,Nobel,58
11/3/2025,@Loy Marymount,137,Lincoln CA,54
11/3/2025,Marshall,78,@Massachusetts,72
11/3/2025,@Montana,106,Northwest Indian,41
11/3/2025,@UC Irvine,125,Bethesda,49
11/3/2025,@Citadel,105,Erskine,61
11/3/2025,@E Michigan,71,Georgia St,49
11/3/2025,@N Colorado,91,Colorado Col,57
11/3/2025,@North Texas,88,NM Highlands,54
11/4/2025,@Iowa,101,Robert Morris,69
11/4/2025,@Missouri St,88,MO Southern,70
11/4/2025,@San Diego St,77,Long Beach St,45
11/4/2025,@East Carolina,92,Ga Southern,89
11/4/2025,TN Martin,86,@UNLV,81
11/4/2025,@Texas Tech,98,Lindenwood,60
11/4/2025,@Kansas St,93,UNC Greensboro,64
11/4/2025,@Arizona St,81,Southern Utah,64
11/4/2025,@West Virginia,70,Mt St Mary's,54
11/4/2025,@Oklahoma St,95,Oral Roberts,71
11/4/2025,@Sacred Heart,103,Merchant Marine,46
11/4/2025,NJIT,72,@Fordham,61
11/4/2025,@Idaho St,81,Park-Gilbert,71
11/4/2025,@Valparaiso,66,E Illinois,63
11/4/2025,Duke,75,Texas,60
11/4/2025,@Stanford,89,Portland St,79
11/4/2025,@Ark Little Rock,92,Ark Baptist,63
11/4/2025,@Oregon,60,Hawaii,59
11/4/2025,@ETSU,102,Converse,50
11/4/2025,@Monmouth NJ,96,Caldwell,68
11/4/2025,@San Diego,88,Occidental,59
11/4/2025,@Manhattan,125,St Joseph's NY,59
11/4/2025,@Santa Clara,83,Humboldt St,53
11/4/2025,@CS Sacramento,103,Dominican CA,79
11/4/2025,@Purdue,82,Evansville,51
11/4/2025,@Nevada,77,Louisiana Tech,50
11/4/2025,@UMBC,74,PSU York,53
11/4/2025,@South Carolina,91,NC A&T,72
11/4/2025,@UC Santa Barbara,98,S Francisco St,67
11/4/2025,@SIUE,119,East-West,50
11/4/2025,@Wichita St,75,UNC Asheville,58
11/4/2025,@Rice,109,CBS-Houston,38
11/4/2025,@Kentucky,77,Nicholls St,51
11/4/2025,@Florida St,108,Alcorn St,76
11/4/2025,@Utah Valley,116,W Coast Bap,35
11/4/2025,@New Mexico St,83,Adams St,72
11/5/2025,@Loy Marymount,70,E Washington,62
11/5/2025,@Mercer,101,LaGrange,62
11/5/2025,@Mississippi St,86,North Alabama,62
11/5/2025,@Georgia,94,MD E Shore,29
11/5/2025,@Marquette,100,Southern Univ,82
11/5/2025,@MTSU,100,Milligan,51
11/5/2025,@La Salle,87,Coppin St,59
11/5/2025,@Butler,88,Southern Indiana,58
11/5/2025,@Richmond,84,S Virginia,56
11/5/2025,@Rutgers,81,Rider,53
11/5/2025,@Creighton,92,South Dakota,76
11/5/2025,@Binghamton,66,Rochester Tech,56
11/5/2025,@Queens NC,87,Lynchburg,76
11/5/2025,@Pacific,83,Life Pacific,56
11/5/2025,@Texas St,114,Texas A&M-SA,55
11/5/2025,@Utah Tech,110,Bethesda,65
11/5/2025,@Lafayette,79,Dickinson,44
11/5/2025,@Elon,99,Belmont Abbey,51
11/5/2025,@Appalachian St,92,Carolina Univ,46
11/5/2025,@Norfolk St,119,Regent,55
11/5/2025,@MS Valley St,97,MS Women,61
11/5/2025,@UC Davis,80,N Dakota St,68
11/5/2025,@Prairie View,94,Dallas Univ,53
11/5/2025,@Presbyterian,105,Bluefield Univ,76
11/5/2025,SC Upstate,67,@Fresno St,66
11/5/2025,@LSU,96,Tarleton St,60
11/5/2025,@Indiana,98,Alabama A&M,51
11/5/2025,@Vermont,113,Plattsburgh St,62
11/5/2025,@Temple,83,Delaware St,65
11/5/2025,@Montana,73,Ottawa AZ,39
11/5/2025,@Montana St,114,Northwest Indian,44
11/5/2025,@James Madison,70,Washington & Lee,56
11/5/2025,@Cal Poly,101,Pac Lutheran,79
11/5/2025,@New Mexico,76,East Texas A&M,54
11/5/2025,@UT San Antonio,97,CBS-Houston,30
11/6/2025,@Auburn,95,Merrimack,57
11/6/2025,@Florida,104,North Florida,64
11/6/2025,@Bowling Green,120,Bethany WV,65
11/6/2025,Robert Morris,81,@Drake,79
11/6/2025,@Jacksonville,132,Trinity FL,45
11/6/2025,@West Virginia,73,Campbell,65
11/6/2025,@Iowa St,102,Grambling,62
11/6/2025,@SMU,69,TAM C. Christi,58
11/6/2025,@Louisville,106,Jackson St,70
11/6/2025,@California,77,Wright St,67
11/6/2025,@Boston College,76,Citadel,47
11/6/2025,@St Louis,108,Chicago St,86
11/6/2025,Mercyhurst,73,@Loyola-Chicago,65
11/6/2025,@Canisius,84,Allegheny,43
11/6/2025,@Morgan St,101,Central Penn,77
11/6/2025,@Ohio,72,Illinois St,68
11/6/2025,LIU Brooklyn,94,@IUPUI,90
11/6/2025,@Xavier,74,Le Moyne,69
11/6/2025,@TCU,104,St Francis PA,63
11/6/2025,@Miami FL,101,Bethune-Cookman,61
11/6/2025,@CS Bakersfield,83,Whittier,61
11/6/2025,@Loyola MD,96,PSU-Abington,60
11/6/2025,@Northern Iowa,86,CS Northridge,57
11/6/2025,@Lindenwood,116,UHSP,51
11/6/2025,@Charleston So,106,Toccoa Falls,71
11/6/2025,@Quinnipiac,71,Central Conn,49
11/6/2025,@Abilene Chr,73,NE Omaha,71
11/6/2025,@Southern Miss,93,Tougaloo,57
11/6/2025,@Portland,83,Ark Pine Bluff,74
11/6/2025,@Cleveland St,71,Capital,70
11/6/2025,@Washington,84,Denver,70
11/6/2025,@Hampton,103,Mid-Atlantic Chr,43
11/6/2025,@Indiana St,104,IL Tech,73
11/6/2025,UC Riverside,74,@North Dakota,70
11/6/2025,@North Texas,80,Northwestern LA,53
11/6/2025,@Texas A&M,104,TX Southern,70
11/6/2025,@Lehigh,91,Valley Forge,52
11/6/2025,Northwood MI,85,@W Michigan,81
11/6/2025,@New Hampshire,113,Curry,31
11/6/2025,@E Kentucky,122,Midway,60
11/6/2025,@South Alabama,76,Alcorn St,70
11/6/2025,@Old Dominion,93,Randolph Col,53
11/6/2025,@S Dakota St,68,Dakota St,62
11/6/2025,@Howard,103,Dist Columbia,71
11/7/2025,@Iowa,77,W Illinois,58
11/7/2025,Idaho St,71,@San Diego,68
11/7/2025,Cal Baptist,69,@UC Irvine,61
11/7/2025,VMI,78,@Southern Indiana,74
11/7/2025,@Wisconsin,97,N Illinois,72
11/7/2025,@Buffalo,83,WI Green Bay,76
11/7/2025,@Ohio St,94,PFW,68
11/7/2025,Utah St,80,VCU,77
11/7/2025,Georgetown,70,@Maryland,60
11/7/2025,@Kentucky,107,Valparaiso,59
11/7/2025,@Ball St,84,Mansfield,54
11/7/2025,@Charlotte,70,Tennessee Tech,65
11/7/2025,@Georgia Tech,74,Bryant,45
11/7/2025,@Texas Tech,98,Sam Houston St,77
11/7/2025,@Cincinnati,74,Georgia St,64
11/7/2025,@Wake Forest,81,Morehead St,65
11/7/2025,@Virginia,81,NC Central,62
11/7/2025,@Pittsburgh,78,Longwood,60
11/7/2025,@North Carolina,87,Kansas,74
11/7/2025,@NC State,94,UAB,70
11/7/2025,@Notre Dame,102,Detroit,70
11/7/2025,@UCLA,74,Pepperdine,63
11/7/2025,@Duquesne,92,Sacred Heart,80
11/7/2025,@Clemson,97,Gardner Webb,59
11/7/2025,@Connecticut,110,MA Lowell,47
11/7/2025,@Penn,119,Rowan,72
11/7/2025,@Louisiana,58,SE Louisiana,52
11/7/2025,Columbia,71,@New Haven,53
11/7/2025,@Harvard,79,MIT,50
11/7/2025,Tulsa,82,Rhode Island,65
11/7/2025,@North Alabama,90,Lane,84
11/7/2025,@Illinois,113,FGCU,70
11/7/2025,@Kent,110,Cornell,102
11/7/2025,@Fordham,106,Mt St Mary NY,37
11/7/2025,Siena,62,@Brown,46
11/7/2025,Bucknell,73,@Mt St Mary's,62
11/7/2025,@E Illinois,65,Nicholls St,57
11/7/2025,Yale,97,@Navy,68
11/7/2025,@Idaho,94,Whitman,49
11/7/2025,Youngstown St,90,@Grand Canyon,81
11/7/2025,@Evansville,92,Calumet-St Jos,50
11/7/2025,@Incarnate Word,104,Jarvis Chr,60
11/7/2025,@DePaul,72,Stonehill,64
11/7/2025,Troy,64,@Furman,61
11/7/2025,@Northwestern,76,Boston Univ,52
11/7/2025,@Davidson,85,Washington St,69
11/7/2025,@Oregon St,76,IL Chicago,73
11/7/2025,@Arizona,93,Utah Tech,67
11/7/2025,@Iona,81,Hofstra,73
11/7/2025,@Santa Clara,79,McNeese St,67
11/7/2025,@Florida St,101,Alabama St,64
11/7/2025,@Coastal Car,121,VA-Lynchburg,44
11/7/2025,Northeastern,68,@Colgate,65
11/7/2025,@Liberty,90,Col Charleston,75
11/7/2025,@George Mason,96,Winthrop,90
11/7/2025,@Northern Arizona,87,Justice,55
11/7/2025,@Purdue,87,Oakland,77
11/7/2025,@Portland St,122,Northwest Indian,74
11/7/2025,@Radford,99,WV Wesleyan,61
11/7/2025,SIUE,77,@UT San Antonio,60
11/7/2025,@Stetson,106,Ft Lauderdale,77
11/7/2025,@UTEP,107,W New Mexico,70
11/7/2025,@CS Sacramento,86,Wm Jessup,76
11/7/2025,Wilmington DE,71,@Delaware,62
11/7/2025,@Seton Hall,68,Wagner,61
11/7/2025,@Oregon,67,Rice,63
11/7/2025,@West Georgia,120,Huntingdon,83
11/7/2025,@Mississippi,86,ULM,65
11/7/2025,@N Colorado,101,Colorado Chr,65
11/7/2025,@Murray St,108,MS Valley St,60
11/7/2025,@Missouri,89,SE Missouri St,84
11/7/2025,@Samford,82,S Carolina St,72
11/7/2025,@S Illinois,101,Missouri KC,78
11/7/2025,@SF Austin,90,Arkansas St,65
11/7/2025,@St Mary's CA,87,Chattanooga,66
11/7/2025,@Miami OH,129,Trinity Chr,49
11/8/2025,@Mercyhurst,94,PSU-New Kens,43
11/8/2025,Marshall,85,@Toledo,73
11/8/2025,@Bradley,85,C Michigan,54
11/8/2025,@Villanova,94,Queens NC,74
11/8/2025,@Tennessee,95,N Kentucky,56
11/8/2025,@Missouri St,106,NW Oklahoma St,57
11/8/2025,@Fresno St,82,Long Beach St,62
11/8/2025,Fairfield,74,@NJIT,53
11/8/2025,@MD E Shore,104,Cheyney St,59
11/8/2025,@MTSU,109,Webster,56
11/8/2025,@St Joseph's PA,76,Drexel,65
11/8/2025,@Wofford,86,WI Milwaukee,76
11/8/2025,@La Salle,73,Monmouth NJ,60
11/8/2025,@Butler,112,IUPUI,80
11/8/2025,@Stony Brook,71,Maine,60
11/8/2025,@Akron,104,Princeton,69
11/8/2025,@Tarleton St,85,TAM C. Christi,77
11/8/2025,@UNLV,101,Chattanooga,69
11/8/2025,@Utah,92,Weber St,89
11/8/2025,@Kansas St,98,Bellarmine,71
11/8/2025,@Colorado,102,E Washington,97
11/8/2025,Virginia Tech,107,Providence,101
11/8/2025,@Syracuse,83,Delaware St,43
11/8/2025,@Duke,95,W Carolina,54
11/8/2025,@Richmond,87,East Carolina,72
11/8/2025,G Washington,99,South Florida,95
11/8/2025,@Dayton,77,UMBC,71
11/8/2025,Niagara,67,@Binghamton,59
11/8/2025,@St Bonaventure,89,Canisius,70
11/8/2025,@BYU,98,Holy Cross,53
11/8/2025,@St Peter's,93,F Dickinson,83
11/8/2025,Alabama,103,@St John's,96
11/8/2025,@Wyoming,92,CS Fullerton,82
11/8/2025,@Mercyhurst,93,PSU-New Kens,43
11/8/2025,Austin Peay,74,@Air Force,54
11/8/2025,@Stanford,91,Montana,68
11/8/2025,@Belmont,87,Tennessee St,79
11/8/2025,@Presbyterian,68,ETSU,64
11/8/2025,Vanderbilt,105,@UCF,93
11/8/2025,@Houston,65,Towson,48
11/8/2025,Cal Poly,73,@Seattle,71
11/8/2025,@Nevada,78,Pacific,77
11/8/2025,@Gonzaga,83,Oklahoma,68
11/8/2025,@New Mexico,74,UT Arlington,56
11/8/2025,@Boise St,101,Utah Valley,77
11/8/2025,@Cent Arkansas,110,Champion Bap,63
11/8/2025,UTRGV,95,@Southern Utah,72
11/8/2025,@Loy Marymount,94,Ark Pine Bluff,72
11/8/2025,FL Atlantic,94,Col Charleston,77
11/8/2025,Elon,92,@UNC Greensboro,90
11/8/2025,@Ga Southern,93,UNC Asheville,90
11/8/2025,@High Point,127,Averett,52
11/8/2025,@UC San Diego,78,Houston Chr,60
11/8/2025,Kennesaw,92,@Florida A&M,72
11/8/2025,@Texas,97,Lafayette,60
11/8/2025,Penn St,87,@New Haven,43
11/8/2025,William & Mary,81,@Norfolk St,78
11/8/2025,@Oral Roberts,84,John Brown,50
11/8/2025,@Wichita St,105,Prairie View,62
11/8/2025,@Memphis,76,San Francisco,70
11/8/2025,@SC Upstate,105,S Virginia,46
11/8/2025,@Tulane,79,Texas St,71
11/8/2025,@Nebraska,96,Florida Intl,66
11/8/2025,@Minnesota,95,Alcorn St,50
11/8/2025,@Michigan St,69,Arkansas,66
11/8/2025,@Massachusetts,83,SUNY Albany,62
11/8/2025,@St Thomas MN,83,Army,76
11/8/2025,@UC Santa Barbara,85,San Jose St,74
11/8/2025,@South Alabama,99,Spring Hill,50
11/9/2025,@San Diego St,73,Idaho St,57
11/9/2025,@Missouri,106,VMI,68
11/9/2025,@Mercer,92,Lipscomb,77
11/9/2025,@Bowling Green,83,Le Moyne,60
11/9/2025,@James Madison,84,Coppin St,70
11/9/2025,@Northern Iowa,65,S Dakota St,58
11/9/2025,@West Virginia,69,Lehigh,47
11/9/2025,@Baylor,78,Washington,69
11/9/2025,@Arizona St,81,Utah Tech,66
11/9/2025,Marist,75,@Dartmouth,56
11/9/2025,@Oklahoma St,87,Texas A&M,63
11/9/2025,@Illinois St,76,Cornell,65
11/9/2025,@American Univ,84,Penn,78
11/9/2025,@South Dakota,121,Ozark Chr,65
11/9/2025,CS Northridge,93,@North Dakota,85
11/9/2025,@Harvard,86,New Hampshire,75
11/9/2025,Indiana,100,Marquette,77
11/9/2025,@PFW,137,Dominican IL,56
11/9/2025,Vermont,89,@Brown,84
11/9/2025,@TN Martin,97,Kentucky Chr,42
11/9/2025,@Hawaii,100,East Texas A&M,74
11/9/2025,@USC,114,Manhattan,83
11/9/2025,@Colorado St,97,NE Omaha,74
11/9/2025,@Portland,67,UC Davis,63
11/9/2025,Denver,75,@Montana St,73
11/9/2025,@Evansville,76,Oakland City,47
11/9/2025,@Appalachian St,76,NC Central,54
11/9/2025,Grambling,73,@Howard,70
11/9/2025,@Louisiana Tech,93,Lyon,35
11/9/2025,@Campbell,91,W Michigan,82
11/9/2025,@Georgia,120,Morehead St,81
11/9/2025,North Texas,64,Loyola-Chicago,62
11/9/2025,@South Carolina,83,Southern Miss,79
11/9/2025,@Liberty,88,FL Atlantic,68
11/10/2025,Santa Clara,87,@Xavier,68
11/10/2025,@Grand Canyon,88,N Illinois,59
11/10/2025,@Robert Morris,93,Geneva,47
11/10/2025,WKU,87,@E Kentucky,79
11/10/2025,@Seton Hall,82,Fairfield,59
11/10/2025,@WI Milwaukee,92,Ark Little Rock,72
11/10/2025,Charleston So,96,@Citadel,86
11/10/2025,@Rutgers,72,Maine,60
11/10/2025,Iowa St,96,Mississippi St,80
11/10/2025,@Pittsburgh,78,E Michigan,66
11/10/2025,@California,93,CS Fullerton,65
11/10/2025,@St Louis,109,Lindenwood,66
11/10/2025,@UCLA,83,West Georgia,62
11/10/2025,@Niagara,68,Delaware St,57
11/10/2025,@Utah,87,Holy Cross,69
11/10/2025,@TCU,78,Lamar,65
11/10/2025,@Miami FL,102,Stetson,61
11/10/2025,@Georgia Tech,70,SE Louisiana,60
11/10/2025,@LSU,93,New Orleans,58
11/10/2025,@Youngstown St,115,PSU-Shenango,53
11/10/2025,@Kent,86,UNC Wilmington,77
11/10/2025,@Connecticut,89,Columbia,62
11/10/2025,@Jacksonville St,114,Reinhardt,39
11/10/2025,@ULM,88,Rust,55
11/10/2025,@Furman,89,Columbia Intl,59
11/10/2025,@Washington St,81,St Thomas MN,71
11/10/2025,@UT Arlington,117,Arlington Bap,61
11/10/2025,@Tennessee Tech,118,VA-Lynchburg,58
11/10/2025,@Northwestern,110,Cleveland St,63
11/10/2025,North Greenville,92,@Gardner Webb,81
11/10/2025,Indiana St,64,@SIUE,55
11/10/2025,New Haven,73,@MA Lowell,67
11/10/2025,@McNeese St,132,CBS-Houston,50
11/10/2025,@NC A&T,85,S Carolina St,62
11/10/2025,Presbyterian,63,@Georgia St,61
11/10/2025,@WI Green Bay,83,Ripon,63
11/10/2025,@Southern Univ,115,Ecclesia,51
11/10/2025,@Drake,89,Simpson IA,51
11/10/2025,@UC Irvine,130,Lincoln CA,63
11/10/2025,@Hofstra,95,Molloy,61
11/11/2025,@Villanova,94,Sacred Heart,60
11/11/2025,@Auburn,93,Wofford,62
11/11/2025,Buffalo,66,@DePaul,53
11/11/2025,Toledo,81,@Wright St,71
11/11/2025,@Detroit,92,Cleary,54
11/11/2025,@High Point,85,Jacksonville,64
11/11/2025,Arkansas St,86,@Missouri St,85
11/11/2025,@Nebraska,69,MD E Shore,50
11/11/2025,@Wisconsin,86,Ball St,55
11/11/2025,@Temple,90,La Salle,63
11/11/2025,@Gonzaga,90,Creighton,63
11/11/2025,@Butler,98,Chicago St,66
11/11/2025,Davidson,62,@Charlotte,55
11/11/2025,Montana,102,@UNLV,93
11/11/2025,@Penn St,80,Navy,71
11/11/2025,@Kansas,77,TAM C. Christi,46
11/11/2025,@BYU,85,Delaware,68
11/11/2025,Michigan,85,Wake Forest,84
11/11/2025,@Virginia,91,Hampton,53
11/11/2025,@SMU,102,Murray St,91
11/11/2025,@Notre Dame,78,E Illinois,58
11/11/2025,@North Carolina,89,Radford,74
11/11/2025,@Louisville,96,Kentucky,88
11/11/2025,Duke,114,@Army,59
11/11/2025,@Richmond,90,William & Mary,86
11/11/2025,@Rhode Island,80,Stonehill,57
11/11/2025,@Duquesne,87,Queens NC,81
11/11/2025,@Cincinnati,74,Dayton,62
11/11/2025,UMBC,81,@Morgan St,79
11/11/2025,@Clemson,83,Morehead St,56
11/11/2025,Central Conn,60,@Boston College,59
11/11/2025,@Providence,106,Penn,81
11/11/2025,Mt St Mary's,74,@St Francis PA,66
11/11/2025,@Illinois,81,Texas Tech,77
11/11/2025,@Princeton,73,Bucknell,63
11/11/2025,@IUPUI,121,IU Columbus,77
11/11/2025,@Abilene Chr,104,SW Adventist,63
11/11/2025,LIU Brooklyn,76,@Air Force,72
11/11/2025,@N Dakota St,90,CS Northridge,68
11/11/2025,@CS Bakersfield,74,W Illinois,58
11/11/2025,@North Alabama,87,Northwestern LA,83
11/11/2025,Ga Southern,95,@FGCU,94
11/11/2025,@Fordham,63,Wagner,61
11/11/2025,NJIT,66,@Loyola MD,64
11/11/2025,Northeastern,77,@Harvard,60
11/11/2025,Yale,97,@Quinnipiac,60
11/11/2025,@Southern Utah,118,Bethesda,60
11/11/2025,@Tennessee St,114,Oakwood,76
11/11/2025,@Arkansas,93,Cent Arkansas,56
11/11/2025,@UCF,97,Florida A&M,60
11/11/2025,@Pepperdine,113,Lincoln CA,76
11/11/2025,Loy Marymount,71,@UTEP,58
11/11/2025,@Boise St,85,UTRGV,65
11/11/2025,@Wyoming,79,Austin Peay,65
11/11/2025,Iona,105,@Missouri KC,91
11/11/2025,@UNC Asheville,69,Lipscomb,64
11/11/2025,Alabama St,77,@UAB,74
11/11/2025,@Coastal Car,72,Winthrop,66
11/11/2025,@Colgate,90,Drexel,83
11/11/2025,@Florida,78,Florida St,76
11/11/2025,@Ohio St,75,Appalachian St,53
11/11/2025,@George Mason,86,Catawba,62
11/11/2025,@IL Chicago,98,St Francis IL,55
11/11/2025,@North Dakota,128,Mayville St,58
11/11/2025,@Old Dominion,60,Norfolk St,57
11/11/2025,@Arizona,84,Northern Arizona,49
11/11/2025,@St Mary's CA,90,Ohio,60
11/11/2025,@Troy,121,Pensacola Chr,56
11/11/2025,@Bethune-Cookman,101,Coastal GA,60
11/11/2025,@Incarnate Word,109,SW Christian,70
11/11/2025,@Stony Brook,107,St Joseph's LI,43
11/11/2025,@Tarleton St,76,Merrimack,62
